counter,time,open,high,low,close,tick_volume,spread,real_volume
516,1740398400,2944.3,2944.8,2942.71,2943.15,1203,13,0
517,1740399300,2943.15,2943.6,2942.05,2942.26,897,13,0
518,1740400200,2942.25,2942.25,2937.66,2938.25,1590,13,0
519,1740401100,2938.25,2938.88,2934.86,2938.49,1762,13,0
520,1740402000,2938.45,2940.6,2937.61,2938.83,1436,13,0
521,1740402900,2938.83,2942.87,2938.52,2942.22,1197,13,0
522,1740403800,2942.22,2945.13,2941.55,2944.53,1839,13,0
523,1740404700,2944.58,2948.24,2944.33,2947.82,1546,13,0
524,1740405600,2947.82,2951.01,2945.6,2946.35,1925,12,0
525,1740406500,2946.35,2948.04,2946,2947,1079,12,0
526,1740407400,2946.84,2947.92,2945.56,2945.89,1457,12,0
527,1740408300,2945.83,2947.63,2945.35,2946.59,1326,12,0
528,1740409200,2946.56,2951.05,2946.25,2950.45,2218,12,0
529,1740410100,2950.45,2951.13,2946.84,2949.71,2288,12,0
530,1740411000,2949.67,2952.5,2948.98,2951.72,1974,12,0
531,1740411900,2951.76,2954.61,2950.55,2954.33,1806,12,0
532,1740412800,2954.34,2956.25,2950.11,2950.75,2293,12,0
533,1740413700,2950.84,2950.96,2939.7,2942.52,2514,12,0
534,1740414600,2942.27,2943.89,2934.64,2942.78,3076,12,0
535,1740415500,2942.73,2944.21,2938.83,2938.91,2646,12,0
536,1740416400,2938.91,2938.91,2930.72,2936.43,3081,12,0
537,1740417300,2936.45,2937.88,2934.59,2935.95,2452,12,0
538,1740418200,2935.96,2940.59,2933.17,2935.62,2762,12,0
539,1740419100,2935.62,2938.66,2935.62,2936.45,2334,12,0
540,1740420000,2936.45,2943.01,2936.44,2942.47,2394,12,0
541,1740420900,2942.51,2943.74,2940.56,2940.84,1963,12,0
542,1740421800,2940.81,2943.06,2939.86,2942.78,2021,12,0
543,1740422700,2942.78,2943.63,2940.11,2943.29,1920,12,0
544,1740423600,2943.48,2944.6,2940.94,2944.12,1877,14,0
545,1740424500,2943.97,2944.62,2942.49,2943.31,1559,14,0
546,1740425400,2943.35,2944.78,2942.55,2943.28,1548,14,0
547,1740426300,2943.28,2944.54,2942.53,2943.27,1691,14,0
548,1740427200,2943.14,2945.23,2942.79,2944.71,1560,14,0
